source_partition,exact_source_donor_id,donor_field_name,sample_field,tissue_or_cell_class_partition,cell_count,donor_appears_in_multiple_partitions,other_exact_person_field,explicit_alias_table_exists,complete_foundation_metadata,foundation_eligibility,exclusion_reason,identity_resolution_method,fuzzy_matching_used
data/external/v4/living_human/hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,H15.06.008,obs/donor_id,7b96819c-598c-47a1-9cea-f410fc0c37fa,neocortex|Non-neuronal and Non-neural,343,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,H15.06.008,obs/donor_id,7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,neocortex|Neuronal: Glutamatergic,63,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,H15.06.008,obs/donor_id,8dfadc37-e19c-4d4b-80d8-cee48e732bcf,neocortex|Neuronal: GABAergic,24,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,H15.06.008,obs/donor_id,900faaa3-adec-4fd9-81b0-1e90a2ab256f,neocortex|Non-neuronal and Non-neural,24,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,H15.06.008,obs/donor_id,9adebd17-bc24-47b6-acdb-0db488bc602d,neocortex|Neuronal: Glutamatergic,24,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,H15.06.008,obs/donor_id,a9b5738d-997d-433f-8d86-12dbfc8f01fb,neocortex|Non-neuronal and Non-neural,109,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,H15.06.008,obs/donor_id,ab88770a-7a74-4da5-a166-d68f02d644f2,neocortex|Non-neuronal and Non-neural,556,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,H15.06.008,obs/donor_id,bb3c4200-5c1b-4f8a-a846-e021919b7241,neocortex|Neuronal: GABAergic,72,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,H15.06.008,obs/donor_id,c3b47645-c927-4a0a-868f-eb7640ea3354,neocortex|Neuronal: Glutamatergic,174,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,H15.06.008,obs/donor_id,c9143d44-4c95-4f06-8edc-e03d3491ab97,neocortex|Neuronal: Glutamatergic,182,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,H15.06.008,obs/donor_id,d1303087-592a-4c3d-aa3e-21de203927dc,neocortex|Neuronal: GABAergic,173,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,H15.06.008,obs/donor_id,e813d04b-7833-4b02-b14f-0247d6128516,neocortex|Neuronal: GABAergic,15,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,H15.06.008,obs/donor_id,f8975a92-8ddb-4dde-adbe-977a4b3e4e96,neocortex|Non-neuronal and Non-neural,1,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,H15.06.017,obs/donor_id,19cd530b-622c-4bd8-b738-dbf169412cb0,neocortex|Neuronal: GABAergic,45,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,H15.06.017,obs/donor_id,38374d1b-6549-4429-b59a-ff2706dacd96,neocortex|Neuronal: Glutamatergic,156,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,H15.06.017,obs/donor_id,42c9001a-3a29-4952-aaa0-b55e73851a5c,neocortex|Neuronal: Glutamatergic,4,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,H15.06.017,obs/donor_id,4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,neocortex|Neuronal: GABAergic,122,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,H15.06.017,obs/donor_id,57f3c92b-a07a-41da-b660-88eb9f93c4c9,neocortex|Neuronal: Glutamatergic,673,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,H15.06.017,obs/donor_id,5e9da577-f665-44af-b9b4-fa0d5ad1964d,neocortex|Neuronal: GABAergic,2,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,H15.06.017,obs/donor_id,5fff0955-173e-407d-b160-64f513ca6db6,neocortex|Neuronal: GABAergic,150,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,H15.06.017,obs/donor_id,6201fd7d-f35b-4487-bace-99426881237b,neocortex|Neuronal: Glutamatergic,84,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,H15.06.017,obs/donor_id,77dc6994-2777-4fad-a445-4ff7d143a682,neocortex|Neuronal: Glutamatergic,136,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,H15.06.017,obs/donor_id,7958eba0-1d79-42e3-8947-a198f98578f2,neocortex|Neuronal: GABAergic,7,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,H15.06.017,obs/donor_id,7b96819c-598c-47a1-9cea-f410fc0c37fa,neocortex|Non-neuronal and Non-neural,995,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,H15.06.017,obs/donor_id,7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,neocortex|Neuronal: Glutamatergic,285,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,H15.06.017,obs/donor_id,8dfadc37-e19c-4d4b-80d8-cee48e732bcf,neocortex|Neuronal: GABAergic,34,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,H15.06.017,obs/donor_id,900faaa3-adec-4fd9-81b0-1e90a2ab256f,neocortex|Non-neuronal and Non-neural,1,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,H15.06.017,obs/donor_id,9adebd17-bc24-47b6-acdb-0db488bc602d,neocortex|Neuronal: Glutamatergic,53,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,H15.06.017,obs/donor_id,a9b5738d-997d-433f-8d86-12dbfc8f01fb,neocortex|Non-neuronal and Non-neural,72,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,H15.06.017,obs/donor_id,ab88770a-7a74-4da5-a166-d68f02d644f2,neocortex|Non-neuronal and Non-neural,66,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,H15.06.017,obs/donor_id,bb3c4200-5c1b-4f8a-a846-e021919b7241,neocortex|Neuronal: GABAergic,100,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,H15.06.017,obs/donor_id,c3b47645-c927-4a0a-868f-eb7640ea3354,neocortex|Neuronal: Glutamatergic,340,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,H15.06.017,obs/donor_id,c9143d44-4c95-4f06-8edc-e03d3491ab97,neocortex|Neuronal: Glutamatergic,251,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,H15.06.017,obs/donor_id,d1303087-592a-4c3d-aa3e-21de203927dc,neocortex|Neuronal: GABAergic,258,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,H15.06.017,obs/donor_id,e813d04b-7833-4b02-b14f-0247d6128516,neocortex|Neuronal: GABAergic,2,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,H15.06.017,obs/donor_id,f8975a92-8ddb-4dde-adbe-977a4b3e4e96,neocortex|Non-neuronal and Non-neural,1,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,H15.06.018,obs/donor_id,19cd530b-622c-4bd8-b738-dbf169412cb0,neocortex|Neuronal: GABAergic,85,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,H15.06.018,obs/donor_id,38374d1b-6549-4429-b59a-ff2706dacd96,neocortex|Neuronal: Glutamatergic,102,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,H15.06.018,obs/donor_id,42c9001a-3a29-4952-aaa0-b55e73851a5c,neocortex|Neuronal: Glutamatergic,31,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,H15.06.018,obs/donor_id,4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,neocortex|Neuronal: GABAergic,380,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,H15.06.018,obs/donor_id,57f3c92b-a07a-41da-b660-88eb9f93c4c9,neocortex|Neuronal: Glutamatergic,2029,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,H15.06.018,obs/donor_id,5e9da577-f665-44af-b9b4-fa0d5ad1964d,neocortex|Neuronal: GABAergic,2,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,H15.06.018,obs/donor_id,5fff0955-173e-407d-b160-64f513ca6db6,neocortex|Neuronal: GABAergic,524,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,H15.06.018,obs/donor_id,6201fd7d-f35b-4487-bace-99426881237b,neocortex|Neuronal: Glutamatergic,161,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,H15.06.018,obs/donor_id,77dc6994-2777-4fad-a445-4ff7d143a682,neocortex|Neuronal: Glutamatergic,103,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,H15.06.018,obs/donor_id,7958eba0-1d79-42e3-8947-a198f98578f2,neocortex|Neuronal: GABAergic,23,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,H15.06.018,obs/donor_id,7b96819c-598c-47a1-9cea-f410fc0c37fa,neocortex|Non-neuronal and Non-neural,1123,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,H15.06.018,obs/donor_id,7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,neocortex|Neuronal: Glutamatergic,337,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,H15.06.018,obs/donor_id,8dfadc37-e19c-4d4b-80d8-cee48e732bcf,neocortex|Neuronal: GABAergic,44,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,H15.06.018,obs/donor_id,900faaa3-adec-4fd9-81b0-1e90a2ab256f,neocortex|Non-neuronal and Non-neural,13,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,H15.06.018,obs/donor_id,9adebd17-bc24-47b6-acdb-0db488bc602d,neocortex|Neuronal: Glutamatergic,146,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,H15.06.018,obs/donor_id,a9b5738d-997d-433f-8d86-12dbfc8f01fb,neocortex|Non-neuronal and Non-neural,304,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,H15.06.018,obs/donor_id,ab88770a-7a74-4da5-a166-d68f02d644f2,neocortex|Non-neuronal and Non-neural,306,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,H15.06.018,obs/donor_id,bb3c4200-5c1b-4f8a-a846-e021919b7241,neocortex|Neuronal: GABAergic,186,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,H15.06.018,obs/donor_id,c3b47645-c927-4a0a-868f-eb7640ea3354,neocortex|Neuronal: Glutamatergic,1233,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c5e9db26-7b51-4290-b721-dd540ac906b1.h5ad,H15.06.018,obs/donor_id,c5e9db26-7b51-4290-b721-dd540ac906b1,neocortex|Non-neuronal and Non-neural,30,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,H15.06.018,obs/donor_id,c9143d44-4c95-4f06-8edc-e03d3491ab97,neocortex|Neuronal: Glutamatergic,1023,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,H15.06.018,obs/donor_id,d1303087-592a-4c3d-aa3e-21de203927dc,neocortex|Neuronal: GABAergic,639,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,H15.06.018,obs/donor_id,e813d04b-7833-4b02-b14f-0247d6128516,neocortex|Neuronal: GABAergic,18,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,H15.06.018,obs/donor_id,f8975a92-8ddb-4dde-adbe-977a4b3e4e96,neocortex|Non-neuronal and Non-neural,10,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,H16.03.001,obs/donor_id,19cd530b-622c-4bd8-b738-dbf169412cb0,neocortex|Neuronal: GABAergic,27,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,H16.03.001,obs/donor_id,38374d1b-6549-4429-b59a-ff2706dacd96,neocortex|Neuronal: Glutamatergic,21,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,H16.03.001,obs/donor_id,4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,neocortex|Neuronal: GABAergic,115,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,H16.03.001,obs/donor_id,57f3c92b-a07a-41da-b660-88eb9f93c4c9,neocortex|Neuronal: Glutamatergic,610,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,H16.03.001,obs/donor_id,5e9da577-f665-44af-b9b4-fa0d5ad1964d,neocortex|Neuronal: GABAergic,1,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,H16.03.001,obs/donor_id,5fff0955-173e-407d-b160-64f513ca6db6,neocortex|Neuronal: GABAergic,177,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,H16.03.001,obs/donor_id,6201fd7d-f35b-4487-bace-99426881237b,neocortex|Neuronal: Glutamatergic,7,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,H16.03.001,obs/donor_id,77dc6994-2777-4fad-a445-4ff7d143a682,neocortex|Neuronal: Glutamatergic,16,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,H16.03.001,obs/donor_id,7958eba0-1d79-42e3-8947-a198f98578f2,neocortex|Neuronal: GABAergic,8,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,H16.03.001,obs/donor_id,7b96819c-598c-47a1-9cea-f410fc0c37fa,neocortex|Non-neuronal and Non-neural,51,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,H16.03.001,obs/donor_id,7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,neocortex|Neuronal: Glutamatergic,45,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,H16.03.001,obs/donor_id,8dfadc37-e19c-4d4b-80d8-cee48e732bcf,neocortex|Neuronal: GABAergic,20,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,H16.03.001,obs/donor_id,900faaa3-adec-4fd9-81b0-1e90a2ab256f,neocortex|Non-neuronal and Non-neural,11,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,H16.03.001,obs/donor_id,9adebd17-bc24-47b6-acdb-0db488bc602d,neocortex|Neuronal: Glutamatergic,30,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,H16.03.001,obs/donor_id,a9b5738d-997d-433f-8d86-12dbfc8f01fb,neocortex|Non-neuronal and Non-neural,29,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,H16.03.001,obs/donor_id,ab88770a-7a74-4da5-a166-d68f02d644f2,neocortex|Non-neuronal and Non-neural,55,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,H16.03.001,obs/donor_id,bb3c4200-5c1b-4f8a-a846-e021919b7241,neocortex|Neuronal: GABAergic,50,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,H16.03.001,obs/donor_id,c3b47645-c927-4a0a-868f-eb7640ea3354,neocortex|Neuronal: Glutamatergic,228,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c5e9db26-7b51-4290-b721-dd540ac906b1.h5ad,H16.03.001,obs/donor_id,c5e9db26-7b51-4290-b721-dd540ac906b1,neocortex|Non-neuronal and Non-neural,50,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,H16.03.001,obs/donor_id,c9143d44-4c95-4f06-8edc-e03d3491ab97,neocortex|Neuronal: Glutamatergic,254,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,H16.03.001,obs/donor_id,d1303087-592a-4c3d-aa3e-21de203927dc,neocortex|Neuronal: GABAergic,154,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,H16.03.001,obs/donor_id,e813d04b-7833-4b02-b14f-0247d6128516,neocortex|Neuronal: GABAergic,1,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,H16.03.001,obs/donor_id,f8975a92-8ddb-4dde-adbe-977a4b3e4e96,neocortex|Non-neuronal and Non-neural,6,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,H16.03.002,obs/donor_id,19cd530b-622c-4bd8-b738-dbf169412cb0,neocortex|Neuronal: GABAergic,44,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,H16.03.002,obs/donor_id,38374d1b-6549-4429-b59a-ff2706dacd96,neocortex|Neuronal: Glutamatergic,122,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,H16.03.002,obs/donor_id,42c9001a-3a29-4952-aaa0-b55e73851a5c,neocortex|Neuronal: Glutamatergic,16,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,H16.03.002,obs/donor_id,4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,neocortex|Neuronal: GABAergic,101,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,H16.03.002,obs/donor_id,57f3c92b-a07a-41da-b660-88eb9f93c4c9,neocortex|Neuronal: Glutamatergic,596,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,H16.03.002,obs/donor_id,5e9da577-f665-44af-b9b4-fa0d5ad1964d,neocortex|Neuronal: GABAergic,5,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,H16.03.002,obs/donor_id,5fff0955-173e-407d-b160-64f513ca6db6,neocortex|Neuronal: GABAergic,254,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,H16.03.002,obs/donor_id,6201fd7d-f35b-4487-bace-99426881237b,neocortex|Neuronal: Glutamatergic,55,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,H16.03.002,obs/donor_id,77dc6994-2777-4fad-a445-4ff7d143a682,neocortex|Neuronal: Glutamatergic,65,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,H16.03.002,obs/donor_id,7958eba0-1d79-42e3-8947-a198f98578f2,neocortex|Neuronal: GABAergic,11,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,H16.03.002,obs/donor_id,7b96819c-598c-47a1-9cea-f410fc0c37fa,neocortex|Non-neuronal and Non-neural,118,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,H16.03.002,obs/donor_id,7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,neocortex|Neuronal: Glutamatergic,151,True,,False,True,True,,exact_source_donor_id,False
data/external/v4/living_human/hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,H16.03.002,obs/donor_id,8dfadc37-e19c-4d4b-80d8-cee48e732bcf,neocortex|Neuronal: GABAergic,27,True,,False,True,True,,exact_source_donor_id,False
